S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,pH,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2
0.012896242066513061,0.006792419301101414,0.11879977326677459,0.015819964276100374,0.017723354338539447,0.022428633650272922,0.11576719983498417,2.914155559238335e-07,0.05659396727402805,0.09390395342889947,0.09377722165766378,0.12614135270255344,0.10229465594809754,0.020423681284729274,0.101454327402783,0.04268477178917242,0.28928511109488586,0.9244837669970337,0.30799706243483316,0.3313091264373312,0.09808155929840486,0.6490082457301019,0.2709488496907037,16.378750348571263,2.0038033176017277e-49,0.005369995709650187,7.254218190647727,0.015756396253285832,0.017658381371220274,0.022334281068858562,0.1153973905612946,0.08438523087308909,0.009518722555810377,0.0018330632540128555,0.09194415840365092,1.264093374089806e-05,1.6639466792659123,0.013619911650852537
0.012975947689618246,0.006723672769120571,0.11882477239231651,0.015742685005593317,0.017639342707804734,0.022388037353021622,0.11565099291371603,2.9078996057594994e-07,0.05659067660757232,0.09391575872093068,0.093788501109177,0.12614255054590057,0.10230409978045084,0.02066623433269472,0.10043050436395587,0.0432220826117661,0.2892943942613083,0.9246334267183441,0.3080141509793598,0.3313701370581187,0.09809718387202315,0.6490978470358896,0.2709808864925623,16.380167242185085,2.002707987274154e-49,0.005369844148991382,7.254371881194932,0.01567944979957837,0.01757470051920476,0.022293888735304898,0.11528168515220737,0.08439886653781055,0.00951689218312013,0.0018339199326909848,0.09195458117648601,1.2616602611471608e-05,1.6639889755599726,0.013601814175361555
0.01306936374873823,0.00664984464937586,0.1189022111286737,0.01565368503412276,0.01754388664592555,0.022343347771449248,0.11549686572516002,2.901411163473231e-07,0.056586269766119086,0.093925040023566,0.09379906983136417,0.1261438132420421,0.102313566181156,0.020919503461519093,0.09930925765563221,0.04378721335251985,0.28930516469121864,0.9247743819310578,0.30803135284385014,0.33142969677672435,0.09811268630066274,0.6491869451721949,0.2710124392729178,16.38159645092695,2.001613255682253e-49,0.005369705073666215,7.254622566985384,0.015590843461604602,0.01747963123590817,0.02224944108019306,0.11512826228631262,0.08441214339984748,0.009512896623718514,0.0018351648818139851,0.09196390494955019,1.2592971056883358e-05,1.6641646424594836,0.013611831796688031
0.013175113372635381,0.006569176590355973,0.11903270307377013,0.01555271605750391,0.017436631934385115,0.022294142914118933,0.11530459402408526,2.894529741170264e-07,0.056580439346146844,0.09393653620805621,0.0938088658047003,0.1261451005127119,0.10232305293035915,0.021176949683621406,0.09807084730344974,0.044367000969199294,0.28931764612458,0.9249058857059639,0.30804875478124616,0.3314876046239372,0.0981280528754794,0.649275372532284,0.2710434896405214,16.38298618073886,2.0005191224987503e-49,0.005369581414927624,7.254789449667377,0.015490303714977133,0.017372793795800562,0.022200478872704717,0.11493674513852131,0.08442576033994052,0.00951077586811569,0.0018360481249930563,0.09197281767970725,1.2567834790079245e-05,1.664194940908897,0.013593250280032602
0.013291170341540042,0.006480710742300363,0.11921508678940063,0.015439138039040531,0.01731677783689574,0.022239834488856157,0.11507075621009334,2.887101489644523e-07,0.05657318078792518,0.09394543869053672,0.09381781067129301,0.12614636295869533,0.1023325576341082,0.0214289303356532,0.09670999332556338,0.044939043925277096,0.28933203330427854,0.9250270201247913,0.3080664439265313,0.33154365006532577,0.0981432685531763,0.64936307137944,0.2710740066634004,16.38431313894477,1.9994255873965197e-49,0.005369476447278528,7.255053201923756,0.015377218944619861,0.017253416852883893,0.022146455101916287,0.11470387549008443,0.08443895191515231,0.009506486775384404,0.0018373168492235663,0.09198049382206944,1.2542876688021269e-05,1.6643552279412854,0.013602837945780833
0.013414761672057672,0.006384644149313253,0.11944586605665314,0.015312265011330288,0.017183459663545033,0.022179703688370498,0.11479379956950894,2.879009769254891e-07,0.05656408325232867,0.09395648012582374,0.09382582194029966,0.12614755498223265,0.10234207768685966,0.021665228644736252,0.09524190908549941,0.04547756960417442,0.2893484796013545,0.9251368153074162,0.3080845043206834,0.33159760866760735,0.0981583164282529,0.6494498613527919,0.2711039473736664,16.38558916916027,1.998332650048645e-49,0.005369392711692218,7.255233569459144,0.01525088014160964,0.017120612493271136,0.022086615281673893,0.11442795335906637,0.08445242451379581,0.009504055612027926,0.0018382220694841413,0.09198759987081552,1.2515572260197499e-05,1.6643658073055814,0.013583812195402976
0.013542521412652535,0.006282596223965124,0.11971918232032903,0.015171768996076033,0.017036194532099203,0.022112985331222256,0.1144701153164452,2.8702126906971577e-07,0.05655312626221384,0.09396485453873302,0.09383282581856553,0.12614864726653302,0.10235161026024538,0.021876958784411954,0.09370459158909025,0.04595813875349115,0.28936708531451455,0.9252344096668438,0.3081030128404337,0.33164924448249783,0.09817317732098778,0.6495356689337284,0.2711332596524861,16.38686128944162,1.9972403101283887e-49,0.005369331140390948,7.25551152745216,0.015110986115347332,0.016973925692987175,0.022020236073381893,0.1141055333543726,0.08446541841988377,0.00949943611884925,0.0018395131818886446,0.09199331263667689,1.248749433287714e-05,1.6645019126067822,0.013592891021886388
0.013670980437533672,0.006176503075029516,0.12002776297425653,0.015017950328688847,0.016875178937341712,0.022038966560021668,0.1140992160015431,2.860702421410101e-07,0.056539974014547106,0.09397529671965217,0.09383877228867409,0.12614963231470044,0.10236115232385284,0.02206106713402126,0.09212154052166409,0.0463726432288834,0.2893878911403881,0.9253191789126795,0.308122035592261,0.33169831914448156,0.09818782960353957,0.6496202990177442,0.27116188805759156,16.388138391639412,1.996148567309161e-49,0.005369291481155166,7.25570694686114,0.014957810652633017,0.016813526271519674,0.021946569172636828,0.11373597829853334,0.08447864700960936,0.009496649710042812,0.0018404414828393416,0.09199833080583475,1.2456273577586206e-05,1.6644847767727209,0.013573411421269053
0.013797055006048995,0.006067721409699546,0.12036415384177383,0.014851570711776358,0.016701103379511476,0.021957011462946294,0.11367903718722228,2.8504612914442395e-07,0.056524718355387985,0.09398303111412488,0.0938436292342342,0.12615051265593516,0.10237070067809878,0.022217467161901924,0.09050629620516235,0.04672123559776317,0.28941088128901765,0.9253907022943895,0.30814162658512145,0.33174460183013943,0.09820224932128777,0.6497036664548147,0.2711897764746281,16.38940962725316,1.9950574212645814e-49,0.005369273051723459,7.255999937011276,0.014792137254937813,0.016640127690340963,0.021865019490306895,0.11331738042549987,0.0844913580662309,0.009491673047893986,0.0018417544727900015,0.0920018747614442,1.2423738890065899e-05,1.6645896541987784,0.013581920216977784
0.013918110064087946,0.00595754806873478,0.12072100589291519,0.014673670841071391,0.01651495630181708,0.021866570187582913,0.1132103400482219,2.8394907400167276e-07,0.05650710144371052,0.09399278058837256,0.09384737747612187,0.12615129320235072,0.10238025197826978,0.022345589696987852,0.08888116800012427,0.04700183754148221,0.28943599131766584,0.9254487125045746,0.3081618278924765,0.33178787558568,0.09821641045218014,0.6497855689302778,0.27121686734857486,16.3906844001872,1.9939668716684483e-49,0.0053692748750071235,7.256210800866217,0.014614977699466439,0.016454689396943757,0.02177500141537135,0.11285034866601953,0.08450426561550542,0.009488514972867138,0.0018427049551922397,0.09200467252092963,1.2387730924345448e-05,1.6645396883700954,0.013562007953528884
0.014031774656708965,0.0058479713999556576,0.12109071267598376,0.014485644023852294,0.016318113902574535,0.02176723307636556,0.11269239478780277,2.827857110039396e-07,0.05648726954664012,0.09399980254519694,0.09385001249684746,0.12615198209957712,0.10238980276088659,0.022443393651252974,0.08728455718874786,0.047207273662820765,0.28946311441260564,0.9254931391602538,0.3081826695138081,0.3318279426708154,0.09823028519451352,0.6498659164751884,0.2712431031709175,16.39200599767056,1.9928769181947062e-49,0.005369295603859204,7.256518396947652,0.014427743828945714,0.01625860732882214,0.021676144557215678,0.11233430329861654,0.08451661942803744,0.009483183117159497,0.00184403666474874,0.09200597583209873,1.235017757795611e-05,1.6646092434639697,0.013569909478490393
0.014135938400717347,0.005740956029582355,0.12146551054486909,0.014289345185108406,0.01611246402282534,0.021658796549498892,0.11212783667219135,2.8156530629501016e-07,0.05646506940387541,0.09400879899078528,0.09385155319523943,0.12615259303455512,0.10239934948733388,0.022510844275660052,0.08573932035509194,0.04733702782902769,0.2894921053197499,0.9255241723621643,0.308204168627101,0.33186463236174746,0.09824384437896448,0.6499445074173015,0.27126843155880576,16.393391914388122,1.9917875605175103e-49,0.005369334132704336,7.256743538736695,0.01423225909448383,0.01605373772480022,0.021568208577738925,0.11177172319675674,0.08452912796625155,0.009479671024533731,0.001845004366459223,0.0920065488287802,1.230915705483376e-05,1.6645238619302192,0.013549630811051712
0.014228879207897015,0.00563775200005482,0.12183797821929135,0.01408688020744901,0.015900171280903447,0.021541254532846135,0.1115179133962485,2.802951886617287e-07,0.05644076462693623,0.09401506409282329,0.09385203486200337,0.12615314073030254,0.10240888859177269,0.022548967146815972,0.08425685639652543,0.04739411174699809,0.2895227861058546,0.9255422029594353,0.30822632970174824,0.3318978079003727,0.09825705807004989,0.6500212569605874,0.27129280731959754,16.394843637821435,1.9906987983111925e-49,0.0053693896509579495,7.257063621201316,0.014030644263118048,0.015842261282823768,0.021451224281536695,0.1111639971222425,0.08454104203387823,0.009474022058945056,0.0018463473821323196,0.09200568747987105,1.2266850515534519e-05,1.6645569936480828,0.013557070105239977
0.014309265268786077,0.0055390295643528795,0.12220122037326742,0.013880365032782229,0.015683411740439857,0.021414761498024317,0.1108666171942764,2.789806816396642e-07,0.05641428175584095,0.09402331205121767,0.09385150299380729,0.1261536384462398,0.10241841651495888,0.022558891977471306,0.0828429055957683,0.04738207186939055,0.28955495298280287,0.9255477390157042,0.3082491453832114,0.3319273691075731,0.09826989619366501,0.6500959747251359,0.2713161909492388,16.39635659110131,1.9896106312502334e-49,0.005369461580042119,7.25729881288391,0.013824983393650328,0.015626322014684113,0.021325308169950718,0.11051495777933855,0.08455307186583164,0.00947024018538603,0.0018473173847510513,0.09200418560905624,1.222151291656521e-05,1.6644348841507115,0.013536337182786908
0.01437605192498698,0.005445139391547677,0.12254878112579891,0.013671787346599431,0.01546422353065676,0.021279599086497677,0.11017596153969977,2.7762588579583757e-07,0.05638589627696237,0.09402884413934377,0.09385000719500086,0.12615409749942072,0.10242792972554,0.02254088631957202,0.08150075430273032,0.04730253501341141,0.2895883822109341,0.9255413509832335,0.30827259743711394,0.3319532515209265,0.09828232904981676,0.650168589877623,0.27133854706861577,16.397923102374698,1.9885230590093213e-49,0.005369549620873696,7.257626365734215,0.013617278879846035,0.015407973965397705,0.02119077709274225,0.10982675546658445,0.08456446840022781,0.00946437573911596,0.00184865427155775,0.09200135292344311,1.2175326216194228e-05,1.664430773020238,0.013543255819437782
0.014428319044929893,0.005356380418905139,0.12287437045537908,0.013462964050872295,0.015244462790507165,0.021136151108088704,0.10945033089720016,2.762346151425337e-07,0.056355531292099,0.09403630464091708,0.09384760025847554,0.1261545273540027,0.10243742473341354,0.02249390829906798,0.08023572493610023,0.04715374802717422,0.2896228336259163,0.9255236482155714,0.3082966573531789,0.3319754238920891,0.09829432771766464,0.6502389283864439,0.2713598434758364,16.399539602878853,1.9874360812633227e-49,0.0053696536500327605,7.257869057012671,0.013409318015254518,0.015189043448208144,0.021047976953868407,0.10910361792165084,0.08457593380137322,0.00946037083954386,0.0018496198165271877,0.09199798044194835,1.2126534967376679e-05,1.6642744283814384,0.013522656352652974
0.014465167249408512,0.005273092580797754,0.12317165256309985,0.013255568307319525,0.015025834699669473,0.020984888952933656,0.10869204927165936,2.748107223391489e-07,0.05632346775429251,0.09404112401317348,0.09384433740217171,0.126154936098197,0.10244689810153404,0.022416618357262025,0.07905345216045397,0.04693304926590825,0.2896580516407772,0.92549528145313,0.30832128644651385,0.33199388560892484,0.09830586437811303,0.6503069344850333,0.2713800509247514,16.401204995357993,1.9863496976872505e-49,0.005369773598099845,7.258199468429469,0.013202788693992279,0.014971251544178955,0.020897412122415582,0.10834799937784233,0.08458674005908841,0.009454383954085072,0.0018509354233794853,0.09199340197879223,1.2077202461027122e-05,1.6642323034475075,0.013528908561145091
